Year,Coefficients_const,Coefficients_predicted_ln_export_area,Standard Errors_const,Standard Errors_predicted_ln_export_area
1990,7.311312459415896,-0.24434477583223396,0.2172963107608313,0.05653103326915982
1991,7.3090078665812275,-0.22804538781030811,0.21301255337167677,0.05541658622385381
1992,7.209389154913981,-0.22362310434349128,0.23330590480589944,0.0606960321613114
1993,7.2053089677823925,-0.2332305324459436,0.22953207390107985,0.05971424577163195
1994,7.22676881158157,-0.2814604940538118,0.2356025094103997,0.06129350862489484
1995,7.278680633215453,-0.2569312237191539,0.23348485361792087,0.060742586846066246
1996,7.303554551926771,-0.24599896729076334,0.23445932680215337,0.06099610231443691
1997,7.374382358123958,-0.2632316868649107,0.22772295794848596,0.05924359261720994
1998,7.291001962646976,-0.24812948648945934,0.23196810111306115,0.060347993923558316
1999,7.3434648721521585,-0.26827421965628184,0.23293946515072517,0.06060070052744581
2000,7.419387528782673,-0.29376390847621686,0.22171271124627304,0.05767998826935416
2001,7.357782094210574,-0.2841738316847516,0.21993313801096473,0.0572170208429037
2002,7.311857074888332,-0.2577141523107216,0.21906069596369854,0.0569900494312551
2003,7.481863605829948,-0.268815948378103,0.2336543921969967,0.06078669339817744
2004,7.623744104621459,-0.2673309648698109,0.24558875398314403,0.06389149439924668
2005,7.751122085750993,-0.2698760093575576,0.2536700986627167,0.06599390821078766
2006,7.849432512873737,-0.2661658027761523,0.2550936233838603,0.0663642473255599
2007,7.942430705265252,-0.25422024968353796,0.25539349441018755,0.06644226070234668
2008,8.028166448197776,-0.23733881668770107,0.25803432674450094,0.06712929022450759
2009,7.996923218384481,-0.2385850135045586,0.2329147618901096,0.06059427381526268
2010,8.141577607269983,-0.2587798963592899,0.23870729490752413,0.06210123854730816
2011,8.208452656520576,-0.2495791904340399,0.2409687074559458,0.06268955957108674
2012,8.28776700229822,-0.26494447133943627,0.2384074131480563,0.062023222378225794
2013,8.246559673135913,-0.25256919843731135,0.24264749433790966,0.06312630677928294
2014,8.236560483968164,-0.24519731077751084,0.23771835748658005,0.061843960114698046
2015,8.158630017442611,-0.25474349202259217,0.21753389756255784,0.05659284300419714
2016,8.115491574715268,-0.25030329395427,0.21916766660312237,0.0570178785313209
2017,8.20472647283611,-0.2617069445780398,0.22010146075925285,0.057260811088813146
2018,8.193087537240691,-0.244100651292863,0.22692114130406787,0.0590349948584967
2019,8.14352103470343,-0.23446957714394542,0.2247623024102818,0.05847335903090226
2020,7.976296123591198,-0.20449488427749477,0.21692243262640964,0.05643376646706088
2021,8.081681803437146,-0.2073296521556801,0.22075853650083094,0.05743175357042937
